out_file,source,profile,case,thermal_weight,wirelength_weight,seed,is_legal,layout_json,benchmark,benchmark_fallback
Case10_alpha_0p9_t100-w2_seed731936390.json,legal,alpha_0p9,Case10,100,2,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case10-t100-w2-table_profiles_5seed_20260917\seed_731936390\legalized\00_Case10_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case10.json,0
Case6_alpha_0p9_t10-w2_seed1343216877.json,legal,alpha_0p9,Case6,10,2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case6-t10-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case6_alpha_0p9_t10-w2_seed1619340970.json,legal,alpha_0p9,Case6,10,2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case6-t10-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case6_alpha_0p9_t10-w2_seed1991307090.json,legal,alpha_0p9,Case6,10,2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case6-t10-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case6_alpha_0p9_t10-w2_seed312945035.json,legal,alpha_0p9,Case6,10,2,312945035,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case6-t10-w2-table_profiles_5seed_20260917\seed_312945035\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case6_alpha_0p9_t10-w2_seed731936390.json,legal,alpha_0p9,Case6,10,2,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case6-t10-w2-table_profiles_5seed_20260917\seed_731936390\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case7_alpha_0p9_t30-w2_seed1343216877.json,legal,alpha_0p9,Case7,30,2,1343216877,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case7-t30-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\02_Case7_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case7.json,0
Case7_alpha_0p9_t30-w2_seed1619340970.json,legal,alpha_0p9,Case7,30,2,1619340970,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case7-t30-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\02_Case7_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case7.json,0
Case7_alpha_0p9_t30-w2_seed1991307090.json,legal,alpha_0p9,Case7,30,2,1991307090,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case7-t30-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\02_Case7_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case7.json,0
Case7_alpha_0p9_t30-w2_seed312945035.json,legal,alpha_0p9,Case7,30,2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case7-t30-w2-table_profiles_5seed_20260917\seed_312945035\legalized\02_Case7_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case7.json,0
Case7_alpha_0p9_t30-w2_seed731936390.json,legal,alpha_0p9,Case7,30,2,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case7-t30-w2-table_profiles_5seed_20260917\seed_731936390\legalized\02_Case7_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case7.json,0
Case8_alpha_0p9_t30-w2_seed1343216877.json,legal,alpha_0p9,Case8,30,2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case8-t30-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\03_Case8_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case8.json,0
Case8_alpha_0p9_t30-w2_seed1619340970.json,legal,alpha_0p9,Case8,30,2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case8-t30-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\03_Case8_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case8.json,0
Case8_alpha_0p9_t30-w2_seed1991307090.json,legal,alpha_0p9,Case8,30,2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case8-t30-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\03_Case8_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case8.json,0
Case8_alpha_0p9_t30-w2_seed312945035.json,legal,alpha_0p9,Case8,30,2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case8-t30-w2-table_profiles_5seed_20260917\seed_312945035\legalized\03_Case8_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case8.json,0
Case8_alpha_0p9_t30-w2_seed731936390.json,legal,alpha_0p9,Case8,30,2,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case8-t30-w2-table_profiles_5seed_20260917\seed_731936390\legalized\03_Case8_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case8.json,0
Case9_alpha_0p9_t1-w2_seed1343216877.json,legal,alpha_0p9,Case9,1,2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case9-t1-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\04_Case9_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case9.json,0
Case9_alpha_0p9_t1-w2_seed1619340970.json,legal,alpha_0p9,Case9,1,2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case9-t1-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\04_Case9_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case9.json,0
Case9_alpha_0p9_t1-w2_seed1991307090.json,legal,alpha_0p9,Case9,1,2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case9-t1-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\04_Case9_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case9.json,0
Case9_alpha_0p9_t1-w2_seed312945035.json,legal,alpha_0p9,Case9,1,2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case9-t1-w2-table_profiles_5seed_20260917\seed_312945035\legalized\04_Case9_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case9.json,0
Case9_alpha_0p9_t1-w2_seed731936390.json,legal,alpha_0p9,Case9,1,2,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-Case9-t1-w2-table_profiles_5seed_20260917\seed_731936390\legalized\04_Case9_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case9.json,0
cpu-dram_alpha_0p9_t0p1-w50_seed1343216877.json,legal,alpha_0p9,cpu-dram,0p1,50,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-cpu-dram-t0p1-w50-table_profiles_5seed_20260917\seed_1343216877\legalized\06_cpu-dram_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\cpu-dram.json,0
cpu-dram_alpha_0p9_t0p1-w50_seed1619340970.json,legal,alpha_0p9,cpu-dram,0p1,50,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-cpu-dram-t0p1-w50-table_profiles_5seed_20260917\seed_1619340970\legalized\06_cpu-dram_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\cpu-dram.json,0
cpu-dram_alpha_0p9_t0p1-w50_seed1991307090.json,legal,alpha_0p9,cpu-dram,0p1,50,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-cpu-dram-t0p1-w50-table_profiles_5seed_20260917\seed_1991307090\legalized\06_cpu-dram_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\cpu-dram.json,0
cpu-dram_alpha_0p9_t0p1-w50_seed312945035.json,legal,alpha_0p9,cpu-dram,0p1,50,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-cpu-dram-t0p1-w50-table_profiles_5seed_20260917\seed_312945035\legalized\06_cpu-dram_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\cpu-dram.json,0
cpu-dram_alpha_0p9_t0p1-w50_seed731936390.json,legal,alpha_0p9,cpu-dram,0p1,50,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-cpu-dram-t0p1-w50-table_profiles_5seed_20260917\seed_731936390\legalized\06_cpu-dram_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\cpu-dram.json,0
hp11_m_alpha_0p9_t0p03-w2_seed1343216877.json,legal,alpha_0p9,hp11_m,0p03,2,1343216877,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-hp11_m-t0p03-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\07_hp11_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\hp11_m.json,0
hp11_m_alpha_0p9_t0p03-w2_seed1619340970.json,legal,alpha_0p9,hp11_m,0p03,2,1619340970,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-hp11_m-t0p03-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\07_hp11_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\hp11_m.json,0
hp11_m_alpha_0p9_t0p03-w2_seed1991307090.json,legal,alpha_0p9,hp11_m,0p03,2,1991307090,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-hp11_m-t0p03-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\07_hp11_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\hp11_m.json,0
hp11_m_alpha_0p9_t0p03-w2_seed312945035.json,legal,alpha_0p9,hp11_m,0p03,2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-hp11_m-t0p03-w2-table_profiles_5seed_20260917\seed_312945035\legalized\07_hp11_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\hp11_m.json,0
hp11_m_alpha_0p9_t0p03-w2_seed731936390.json,legal,alpha_0p9,hp11_m,0p03,2,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-hp11_m-t0p03-w2-table_profiles_5seed_20260917\seed_731936390\legalized\07_hp11_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\hp11_m.json,0
multigpu_alpha_0p9_t30-w0p02_seed1343216877.json,legal,alpha_0p9,multigpu,30,0p02,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-multigpu-t30-w0p02-table_profiles_5seed_20260917\seed_1343216877\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
multigpu_alpha_0p9_t30-w0p02_seed1619340970.json,legal,alpha_0p9,multigpu,30,0p02,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-multigpu-t30-w0p02-table_profiles_5seed_20260917\seed_1619340970\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
multigpu_alpha_0p9_t30-w0p02_seed1991307090.json,legal,alpha_0p9,multigpu,30,0p02,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-multigpu-t30-w0p02-table_profiles_5seed_20260917\seed_1991307090\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
multigpu_alpha_0p9_t30-w0p02_seed312945035.json,legal,alpha_0p9,multigpu,30,0p02,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-multigpu-t30-w0p02-table_profiles_5seed_20260917\seed_312945035\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
multigpu_alpha_0p9_t30-w0p02_seed731936390.json,legal,alpha_0p9,multigpu,30,0p02,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-multigpu-t30-w0p02-table_profiles_5seed_20260917\seed_731936390\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
syn1_alpha_0p9_t30-w0p2_seed1343216877.json,legal,alpha_0p9,syn1,30,0p2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn1-t30-w0p2-table_profiles_5seed_20260917\seed_1343216877\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p9_t30-w0p2_seed1619340970.json,legal,alpha_0p9,syn1,30,0p2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn1-t30-w0p2-table_profiles_5seed_20260917\seed_1619340970\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p9_t30-w0p2_seed1991307090.json,legal,alpha_0p9,syn1,30,0p2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn1-t30-w0p2-table_profiles_5seed_20260917\seed_1991307090\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p9_t30-w0p2_seed312945035.json,legal,alpha_0p9,syn1,30,0p2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn1-t30-w0p2-table_profiles_5seed_20260917\seed_312945035\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p9_t30-w0p2_seed731936390.json,legal,alpha_0p9,syn1,30,0p2,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn1-t30-w0p2-table_profiles_5seed_20260917\seed_731936390\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn4_alpha_0p9_t30-w0p2_seed1343216877.json,legal,alpha_0p9,syn4,30,0p2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn4-t30-w0p2-table_profiles_5seed_20260917\seed_1343216877\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p9_t30-w0p2_seed1619340970.json,legal,alpha_0p9,syn4,30,0p2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn4-t30-w0p2-table_profiles_5seed_20260917\seed_1619340970\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p9_t30-w0p2_seed1991307090.json,legal,alpha_0p9,syn4,30,0p2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn4-t30-w0p2-table_profiles_5seed_20260917\seed_1991307090\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p9_t30-w0p2_seed312945035.json,legal,alpha_0p9,syn4,30,0p2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn4-t30-w0p2-table_profiles_5seed_20260917\seed_312945035\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p9_t30-w0p2_seed731936390.json,legal,alpha_0p9,syn4,30,0p2,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-syn4-t30-w0p2-table_profiles_5seed_20260917\seed_731936390\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
xerox8_m_alpha_0p9_t100-w0p02_seed1343216877.json,legal,alpha_0p9,xerox8_m,100,0p02,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_1343216877\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p9_t100-w0p02_seed1619340970.json,legal,alpha_0p9,xerox8_m,100,0p02,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_1619340970\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p9_t100-w0p02_seed1991307090.json,legal,alpha_0p9,xerox8_m,100,0p02,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_1991307090\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p9_t100-w0p02_seed312945035.json,legal,alpha_0p9,xerox8_m,100,0p02,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_312945035\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p9_t100-w0p02_seed731936390.json,legal,alpha_0p9,xerox8_m,100,0p02,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p9-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_731936390\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
