case,thermal_weight,wirelength_weight,n_attempted,n_legal,legal_seeds,illegal_seeds,all_in_resultcsv
xerox8_m,0.3,50,3,3,946615675 1056634028 1486441653,,0
xerox8_m,10,50,3,3,946615675 1056634028 1486441653,,0
xerox8_m,30,50,3,3,946615675 1056634028 1486441653,,0
xerox8_m,100,0.02,3,3,946615675 1056634028 1486441653,,0
xerox8_m,10,0.02,3,3,946615675 1056634028 1486441653,,0
xerox8_m,30,0.02,3,3,946615675 1056634028 1486441653,,0
xerox8_m,100,0,3,3,946615675 1056634028 1486441653,,0
xerox8_m,3,2,3,3,946615675 1056634028 1486441653,,0
xerox8_m,100,0.2,3,3,946615675 1056634028 1486441653,,0
xerox8_m,0.01,2,3,3,946615675 1056634028 1486441653,,0
xerox8_m,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,0,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,0,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.01,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.01,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.01,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.01,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.01,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.03,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.03,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.03,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.03,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.03,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.1,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.1,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.1,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.1,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.1,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.3,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.3,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.3,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,0.3,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,1,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,1,0.02,3,3,1056634028 946615675 1486441653,,0
hp6_m,1,0.2,3,3,1056634028 946615675 1486441653,,0
hp6_m,1,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,1,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,3,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,3,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,3,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,3,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,3,50,3,3,1056634028 946615675 1486441653,,0
hp6_m,10,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,10,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,10,0.2,3,3,1056634028 946615675 1486441653,,0
hp6_m,10,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,10,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,30,0,3,3,1056634028 946615675 1486441653,,0
hp6_m,30,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,30,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,30,2,3,3,1056634028 946615675 1486441653,,0
hp6_m,30,50,3,3,946615675 1056634028 1486441653,,0
hp6_m,100,0,3,3,946615675 1056634028 1486441653,,0
hp6_m,100,0.02,3,3,946615675 1056634028 1486441653,,0
hp6_m,100,0.2,3,3,946615675 1056634028 1486441653,,0
hp6_m,100,2,3,3,946615675 1056634028 1486441653,,0
hp6_m,100,50,3,3,946615675 1056634028 1486441653,,0
hp8_m,0,0,3,3,946615675 1056634028 1486441653,,0
hp8_m,0,0.02,3,3,1056634028 946615675 1486441653,,0
hp8_m,0,0.2,3,3,1056634028 946615675 1486441653,,0
hp8_m,0,2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0,50,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.01,0,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.01,0.02,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.01,0.2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.01,2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.01,50,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.03,0,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.03,0.02,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.03,0.2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.03,2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.03,50,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.1,0,3,3,1056634028 946615675 1486441653,,0
hp8_m,0.1,0.02,3,3,1056634028 946615675 1486441653,,0
hp8_m,0.1,0.2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.1,2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.1,50,3,3,946615675 1486441653 1056634028,,0
hp8_m,0.3,0,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.3,0.02,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.3,2,3,3,946615675 1056634028 1486441653,,0
hp8_m,0.3,50,3,3,1056634028 946615675 1486441653,,0
hp8_m,1,0,3,3,946615675 1056634028 1486441653,,0
hp8_m,1,0.02,3,3,946615675 1056634028 1486441653,,0
hp8_m,1,0.2,3,3,1056634028 946615675 1486441653,,0
hp8_m,1,2,3,3,1056634028 946615675 1486441653,,0
hp8_m,1,50,3,3,946615675 1056634028 1486441653,,0
hp8_m,3,0,3,3,946615675 1056634028 1486441653,,0
hp8_m,3,0.02,3,3,946615675 1056634028 1486441653,,0
hp8_m,3,0.2,3,3,946615675 1056634028 1486441653,,0
hp8_m,3,2,3,3,946615675 1056634028 1486441653,,0
hp8_m,3,50,3,3,946615675 1056634028 1486441653,,0
hp8_m,10,0,3,3,946615675 1056634028 1486441653,,0
