case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
acend910_wl00,1,6,5,43198.520920,17.646455,62.096494,73.730000,2009.131450,44.823336,44.823336,0.338000,29.870000,
acend910_wl01,1,6,5,43254.043536,17.669135,62.090437,73.730000,2009.131450,44.823336,44.823336,0.367000,30.253000,
acend910_wl02,1,6,5,44024.166816,17.983728,62.281838,73.760000,2009.135574,44.823336,44.823428,0.342000,31.269000,
acend910_wl03,1,6,5,43246.535274,17.666068,62.080679,73.720000,2009.131450,44.823336,44.823336,0.314000,31.923000,
acend910_wl04,1,6,5,44024.166816,17.983728,62.281838,73.760000,2009.135574,44.823336,44.823428,0.332000,31.446000,
acend910_wl05,1,6,5,42807.565552,17.486751,62.259490,73.820000,2009.131450,44.823336,44.823336,0.319000,33.372000,
acend910_wl06,1,6,5,43331.995000,17.700978,62.093040,73.730000,2009.131450,44.823336,44.823336,0.296000,32.326000,
acend910_wl07,1,6,5,43209.573176,17.650969,62.092693,73.740000,2009.131450,44.823336,44.823336,0.445000,32.082000,
acend910_wl08,1,6,5,43186.709264,17.641630,62.164873,73.740000,2009.131450,44.823336,44.823336,0.288000,31.412000,
acend910_wl09,1,6,5,41900.835254,17.116354,62.256946,73.840000,2009.131450,44.823336,44.823336,0.288000,31.266000,
acend910_wl10,1,6,5,42693.784468,17.440271,62.216462,73.720000,2009.131450,44.823336,44.823336,0.210000,30.636000,
acend910_wl11,1,6,5,42285.266460,17.273393,62.301443,73.750000,2009.131450,44.823336,44.823336,0.263000,30.798000,
acend910_wl12,1,6,5,42536.040900,17.375834,62.280242,73.780000,2009.131450,44.823336,44.823336,0.306000,30.167000,
acend910_wl13,1,6,5,41842.309176,17.092447,62.318010,73.770000,2009.131450,44.823336,44.823336,0.319000,30.232000,
acend910_wl14,1,6,5,44024.166816,17.983728,62.281838,73.760000,2009.135574,44.823336,44.823428,0.402000,31.165000,
acend910_wl15,1,6,5,42451.952910,17.341484,62.284482,73.790000,2009.131450,44.823336,44.823336,0.262000,31.858000,
acend910_wl16,1,6,5,42283.183828,17.272542,62.332424,73.750000,2009.131450,44.823336,44.823336,0.255000,31.799000,
acend910_wl17,1,6,5,42920.461632,17.532868,62.349490,73.820000,2009.131450,44.823336,44.823336,0.332000,32.218000,
acend910_wl18,1,6,5,42354.311998,17.301598,62.364744,73.820000,2009.131450,44.823336,44.823336,0.305000,32.664000,
acend910_wl19,1,6,5,41873.970740,17.105380,62.371465,73.810000,2009.131450,44.823336,44.823336,0.213000,32.881000,
acend910_wl20,1,6,5,36751.857846,15.013014,62.678777,74.250000,1652.094932,44.823336,36.857920,0.266000,33.470000,
acend910_wl21,1,6,5,34383.968702,14.045739,62.658269,74.250000,1876.854289,44.823336,41.872258,0.231000,34.377000,
acend910_wl22,1,6,5,32060.328004,13.096539,62.695557,74.420000,2009.131450,44.823336,44.823336,0.355000,33.118000,
acend910_wl23,1,6,5,30947.428854,12.641924,62.765281,74.600000,1749.026069,44.823336,39.020435,0.210000,32.569000,
acend910_wl24,1,6,5,29687.453604,12.127228,62.814199,74.720000,1721.741073,44.823336,38.411712,0.413000,33.857000,
acend910_wl25,1,6,5,29113.503032,11.892771,62.801580,74.700000,1698.865260,44.823336,37.901357,0.290000,33.158000,
acend910_wl26,1,6,5,29698.587602,12.131776,62.776145,74.690000,1679.648554,44.823336,37.472636,0.258000,33.601000,
acend910_wl27,1,6,5,33161.022656,13.546169,62.776335,74.500000,1573.635000,44.823336,35.107494,0.299000,33.948000,
acend910_wl28,1,6,5,30979.097888,12.654860,62.813843,74.700000,1493.175946,44.823336,33.312468,0.323000,32.715000,
acend910_wl29,1,6,5,28930.883486,11.818171,62.531829,74.660000,1739.153460,44.823336,38.800179,0.215000,32.949000,
acend910_wl30,1,6,5,28454.818640,11.623700,62.819324,74.800000,1617.262404,44.823336,36.080813,0.434000,32.744000,
acend910_wl31,1,6,5,28587.891820,11.678060,62.783433,74.790000,1624.099353,44.823336,36.233344,0.308000,33.642000,
